  Test on huper-singular integration
   After 10
 
                    =================


  WATER DEPTH= -120.000    WAVE AMPLITUDE=  0.50
  WAVE NUMBER=  1.50000  K0=  1.50000  WAVE LENGTH=   4.1888
  ANGULAR FREQU.=  3.83543   WAVE PERIOD=  1.638
  WAVE DIRECTION:  0.000  Degree

   IND       X          Y          Z        DAMPing
 AFTER BODYFD
  IN TASSB0 
   INODE      ANGLE         A3          C31           C32           C33
  139      0.500000      0.000831     -0.000416     -0.000104      0.500000
  140      0.500000      0.000009     -0.000004     -0.000002      0.500000
  141      0.500000      0.000831     -0.000312     -0.000208      0.500000
  142      0.500000      0.000811     -0.000603     -0.000101      0.499996
  143      0.500000     -0.000027      0.000029      0.000007      0.499998
  144      0.500000      0.000831     -0.000519     -0.000208      0.500000
  145      0.250000      0.000416      0.481256     -0.000052      0.250000
  146      0.250000      0.000004      0.855652     -0.000001      0.250000
  147      0.500000      0.002403     -0.002325     -0.000601      0.500260
  148      0.500000      0.000811      0.000603     -0.000304      0.499996
  149      0.500000     -0.000027     -0.000029      0.000013      0.499998
  150      0.500000      0.002403      0.002325     -0.001201      0.500260
  151      0.250000      0.000004     -0.855652     -0.000002      0.250000
  152      0.250000      0.000416     -0.481256     -0.000156      0.250000
  153      0.500000      0.000831      0.000416     -0.000312      0.500000
  154      0.500000      0.000009      0.000004     -0.000004      0.500000
  155      0.500000      0.000831      0.000519     -0.000416      0.500000
  156      0.500000      0.000831      0.000208     -0.000312      0.500000
  157      0.500000      0.000009      0.000002     -0.000004      0.500000
  158      0.500000      0.000831      0.000312     -0.000416      0.500000
  159      0.500000      0.000831      0.000000     -0.000312      0.500000
  160      0.500000      0.000009      0.000000     -0.000004      0.500000
  161      0.500000      0.000831      0.000104     -0.000416      0.500000
  162      0.500000      0.000831     -0.000208     -0.000312      0.500000
  163      0.500000      0.000009     -0.000002     -0.000004      0.500000
  164      0.500000      0.000831     -0.000104     -0.000416      0.500000
  165      0.500000      0.000831     -0.000416     -0.000312      0.500000
  166      0.500000      0.000009     -0.000004     -0.000004      0.500000
  167      0.500000      0.000831     -0.000312     -0.000416      0.500000
  168      0.500000      0.000811     -0.000603     -0.000304      0.499996
  169      0.500000     -0.000027      0.000029      0.000013      0.499998
  170      0.500000      0.000831     -0.000519     -0.000416      0.500000
  171      0.250000      0.000416      0.481256     -0.000156      0.250000
  172      0.250000      0.000004      0.855652     -0.000002      0.250000
  173      0.500000      0.002403     -0.002325     -0.001201      0.500260
  174      0.500000      0.000811      0.000603     -0.000507      0.499996
  175      0.500000     -0.000062     -0.000055      0.000055      0.499996
  176      0.500000      0.002384      0.002308     -0.001783      0.500256
  177      0.250000     -0.000013     -0.855668      0.000014      0.249999
  178      0.250000      0.000416     -0.481256     -0.000260      0.250000
  179      0.500000      0.000831      0.000416     -0.000519      0.500000
  180      0.500000     -0.000027     -0.000013      0.000029      0.499998
  181      0.500000      0.000811      0.000507     -0.000603      0.499996
  182      0.500000      0.000831      0.000208     -0.000519      0.500000
  183      0.500000     -0.000027     -0.000007      0.000029      0.499998
  184      0.500000      0.000811      0.000304     -0.000603      0.499996
  185      0.500000      0.000831      0.000000     -0.000519      0.500000
  186      0.500000     -0.000027     -0.000000      0.000029      0.499998
  187      0.500000      0.000811      0.000101     -0.000603      0.499996
  188      0.500000      0.000831     -0.000208     -0.000519      0.500000
  189      0.500000     -0.000027      0.000007      0.000029      0.499998
  190      0.500000      0.000811     -0.000101     -0.000603      0.499996
  191      0.500000      0.000831     -0.000416     -0.000519      0.500000
  192      0.500000     -0.000027      0.000013      0.000029      0.499998
  193      0.500000      0.000811     -0.000304     -0.000603      0.499996
  194      0.500000      0.000811     -0.000603     -0.000507      0.499996
  195      0.500000     -0.000062      0.000055      0.000055      0.499996
  196      0.500000      0.000811     -0.000507     -0.000603      0.499996
  197      0.250000      0.000416      0.481256     -0.000260      0.250000
  198      0.250000     -0.000013      0.855668      0.000014      0.249999
  199      0.500000      0.002384     -0.002308     -0.001783      0.500256
  200      0.500000      0.002384      0.001783     -0.002308      0.500256
  201      0.250000     -0.000013     -0.000014      0.855668      0.249999
  202      0.250000      0.001201      0.001163      0.480470      0.250130
  203      0.125000      0.000002     -0.427826      0.427826      0.125000
  204      0.250000      0.001201     -0.480470     -0.001163      0.250130
  205      0.500000      0.002403      0.001201     -0.002325      0.500260
  206      0.250000      0.000004      0.000002      0.855652      0.250000
  207      0.250000      0.000416      0.000260      0.481256      0.250000
  208      0.500000      0.002403      0.000601     -0.002325      0.500260
  209      0.250000      0.000004      0.000001      0.855652      0.250000
  210      0.250000      0.000416      0.000156      0.481256      0.250000
  211      0.500000      0.002403      0.000000     -0.002325      0.500260
  212      0.250000      0.000004     -0.000000      0.855652      0.250000
  213      0.250000      0.000416      0.000052      0.481256      0.250000
  214      0.500000      0.002403     -0.000601     -0.002325      0.500260
  215      0.250000      0.000004     -0.000001      0.855652      0.250000
  216      0.250000      0.000416     -0.000052      0.481256      0.250000
  217      0.500000      0.002403     -0.001201     -0.002325      0.500260
  218      0.250000      0.000004     -0.000002      0.855652      0.250000
  219      0.250000      0.000416     -0.000156      0.481256      0.250000
  220      0.500000      0.002384     -0.001783     -0.002308      0.500256
  221      0.250000     -0.000013      0.000014      0.855668      0.249999
  222      0.250000      0.000416     -0.000260      0.481256      0.250000
  223      0.250000      0.001201      0.480470     -0.001163      0.250130
  224      0.125000      0.000002      0.427826      0.427826      0.125000
  225      0.250000      0.001201     -0.001163      0.480470      0.250130
